,OA,LSOA,ward,MSOA,council,outer/inner
16975,E00023701,E05000638,Lancaster Gate,E09000033,Westminster,Inner London
16976,E00023703,E05000638,Lancaster Gate,E09000033,Westminster,Inner London
16977,E00023704,E05000638,Lancaster Gate,E09000033,Westminster,Inner London
16978,E00023705,E05000638,Lancaster Gate,E09000033,Westminster,Inner London
16979,E00023706,E05000638,Lancaster Gate,E09000033,Westminster,Inner London
16980,E00023707,E05000638,Lancaster Gate,E09000033,Westminster,Inner London
16981,E00023709,E05000638,Lancaster Gate,E09000033,Westminster,Inner London
16982,E00023710,E05000638,Lancaster Gate,E09000033,Westminster,Inner London
16983,E00023714,E05000638,Lancaster Gate,E09000033,Westminster,Inner London
16984,E00023715,E05000638,Lancaster Gate,E09000033,Westminster,Inner London
16985,E00023720,E05000638,Lancaster Gate,E09000033,Westminster,Inner London
16986,E00023721,E05000638,Lancaster Gate,E09000033,Westminster,Inner London
16987,E00023723,E05000638,Lancaster Gate,E09000033,Westminster,Inner London
16988,E00023724,E05000638,Lancaster Gate,E09000033,Westminster,Inner London
16989,E00023727,E05000638,Lancaster Gate,E09000033,Westminster,Inner London
16990,E00023730,E05000638,Lancaster Gate,E09000033,Westminster,Inner London
16991,E00023731,E05000638,Lancaster Gate,E09000033,Westminster,Inner London
16992,E00023732,E05000638,Lancaster Gate,E09000033,Westminster,Inner London
16993,E00023737,E05000638,Lancaster Gate,E09000033,Westminster,Inner London
16994,E00023738,E05000638,Lancaster Gate,E09000033,Westminster,Inner London
16995,E00023739,E05000638,Lancaster Gate,E09000033,Westminster,Inner London
16996,E00023740,E05000638,Lancaster Gate,E09000033,Westminster,Inner London
16997,E00023741,E05000638,Lancaster Gate,E09000033,Westminster,Inner London
16998,E00175197,E05000638,Lancaster Gate,E09000033,Westminster,Inner London
16999,E00175198,E05000638,Lancaster Gate,E09000033,Westminster,Inner London
17000,E00175199,E05000638,Lancaster Gate,E09000033,Westminster,Inner London
17001,E00023928,E05000644,St. James's,E09000033,Westminster,Inner London
17002,E00023929,E05000644,St. James's,E09000033,Westminster,Inner London
17003,E00023930,E05000644,St. James's,E09000033,Westminster,Inner London
17004,E00023931,E05000644,St. James's,E09000033,Westminster,Inner London
17005,E00023932,E05000644,St. James's,E09000033,Westminster,Inner London
17006,E00023933,E05000644,St. James's,E09000033,Westminster,Inner London
17007,E00023934,E05000644,St. James's,E09000033,Westminster,Inner London
17008,E00023935,E05000644,St. James's,E09000033,Westminster,Inner London
17009,E00023936,E05000644,St. James's,E09000033,Westminster,Inner London
17010,E00023937,E05000644,St. James's,E09000033,Westminster,Inner London
17011,E00023938,E05000644,St. James's,E09000033,Westminster,Inner London
17012,E00023939,E05000644,St. James's,E09000033,Westminster,Inner London
17013,E00023955,E05000644,St. James's,E09000033,Westminster,Inner London
17014,E00023956,E05000644,St. James's,E09000033,Westminster,Inner London
17015,E00023957,E05000644,St. James's,E09000033,Westminster,Inner London
17016,E00023958,E05000644,St. James's,E09000033,Westminster,Inner London
17017,E00023959,E05000644,St. James's,E09000033,Westminster,Inner London
17018,E00023960,E05000644,St. James's,E09000033,Westminster,Inner London
17019,E00024109,E05000649,West End,E09000033,Westminster,Inner London
17020,E00024113,E05000649,West End,E09000033,Westminster,Inner London
17021,E00024115,E05000649,West End,E09000033,Westminster,Inner London
17022,E00024116,E05000649,West End,E09000033,Westminster,Inner London
17023,E00024119,E05000649,West End,E09000033,Westminster,Inner London
17024,E00175212,E05000649,West End,E09000033,Westminster,Inner London
17025,E00175213,E05000649,West End,E09000033,Westminster,Inner London
17026,E00175214,E05000649,West End,E09000033,Westminster,Inner London
17027,E00023657,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17028,E00023658,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17029,E00023659,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17030,E00023660,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17031,E00023661,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17032,E00023662,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17033,E00023663,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17034,E00023664,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17035,E00023665,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17036,E00023666,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17037,E00023668,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17038,E00023669,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17039,E00023670,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17040,E00023671,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17041,E00023672,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17042,E00023674,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17043,E00023675,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17044,E00023676,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17045,E00023678,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17046,E00023679,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17047,E00023680,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17048,E00023681,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17049,E00023682,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17050,E00023684,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17051,E00023685,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17052,E00023686,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17053,E00023687,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17054,E00023688,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17055,E00023689,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17056,E00023690,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17057,E00175204,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17058,E00175205,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17059,E00175206,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17060,E00175208,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17061,E00175250,E05000637,Knightsbridge and Belgravia,E09000033,Westminster,Inner London
17062,E00023926,E05000644,St. James's,E09000033,Westminster,Inner London
17063,E00023927,E05000644,St. James's,E09000033,Westminster,Inner London
17064,E00023941,E05000644,St. James's,E09000033,Westminster,Inner London
17065,E00023942,E05000644,St. James's,E09000033,Westminster,Inner London
17066,E00023943,E05000644,St. James's,E09000033,Westminster,Inner London
17067,E00023944,E05000644,St. James's,E09000033,Westminster,Inner London
17068,E00023945,E05000644,St. James's,E09000033,Westminster,Inner London
17069,E00023946,E05000644,St. James's,E09000033,Westminster,Inner London
17070,E00023947,E05000644,St. James's,E09000033,Westminster,Inner London
17071,E00023948,E05000644,St. James's,E09000033,Westminster,Inner London
17072,E00023949,E05000644,St. James's,E09000033,Westminster,Inner London
17073,E00023950,E05000644,St. James's,E09000033,Westminster,Inner London
17074,E00023951,E05000644,St. James's,E09000033,Westminster,Inner London
17075,E00023953,E05000644,St. James's,E09000033,Westminster,Inner London
17076,E00023954,E05000644,St. James's,E09000033,Westminster,Inner London
17077,E00024004,E05000646,Vincent Square,E09000033,Westminster,Inner London
17078,E00024005,E05000646,Vincent Square,E09000033,Westminster,Inner London
17079,E00024006,E05000646,Vincent Square,E09000033,Westminster,Inner London
17080,E00024007,E05000646,Vincent Square,E09000033,Westminster,Inner London
17081,E00024008,E05000646,Vincent Square,E09000033,Westminster,Inner London
17082,E00024013,E05000646,Vincent Square,E09000033,Westminster,Inner London
17083,E00024014,E05000646,Vincent Square,E09000033,Westminster,Inner London
17084,E00024031,E05000646,Vincent Square,E09000033,Westminster,Inner London
17085,E00024032,E05000646,Vincent Square,E09000033,Westminster,Inner London
17086,E00024033,E05000646,Vincent Square,E09000033,Westminster,Inner London
17087,E00024034,E05000646,Vincent Square,E09000033,Westminster,Inner London
17088,E00175226,E05000644,St. James's,E09000033,Westminster,Inner London
17089,E00175227,E05000644,St. James's,E09000033,Westminster,Inner London
17090,E00175228,E05000644,St. James's,E09000033,Westminster,Inner London
17091,E00175229,E05000644,St. James's,E09000033,Westminster,Inner London
17092,E00175248,E05000644,St. James's,E09000033,Westminster,Inner London
17093,E00175249,E05000644,St. James's,E09000033,Westminster,Inner London
17094,E00023985,E05000645,Tachbrook,E09000033,Westminster,Inner London
17095,E00023986,E05000645,Tachbrook,E09000033,Westminster,Inner London
17096,E00023987,E05000645,Tachbrook,E09000033,Westminster,Inner London
17097,E00023988,E05000645,Tachbrook,E09000033,Westminster,Inner London
17098,E00023989,E05000645,Tachbrook,E09000033,Westminster,Inner London
17099,E00023990,E05000645,Tachbrook,E09000033,Westminster,Inner London
17100,E00023992,E05000645,Tachbrook,E09000033,Westminster,Inner London
17101,E00024001,E05000646,Vincent Square,E09000033,Westminster,Inner London
17102,E00024002,E05000646,Vincent Square,E09000033,Westminster,Inner London
17103,E00024009,E05000646,Vincent Square,E09000033,Westminster,Inner London
17104,E00024010,E05000646,Vincent Square,E09000033,Westminster,Inner London
17105,E00024011,E05000646,Vincent Square,E09000033,Westminster,Inner London
17106,E00024012,E05000646,Vincent Square,E09000033,Westminster,Inner London
17107,E00024016,E05000646,Vincent Square,E09000033,Westminster,Inner London
17108,E00024017,E05000646,Vincent Square,E09000033,Westminster,Inner London
17109,E00024018,E05000646,Vincent Square,E09000033,Westminster,Inner London
17110,E00024019,E05000646,Vincent Square,E09000033,Westminster,Inner London
17111,E00024020,E05000646,Vincent Square,E09000033,Westminster,Inner London
17112,E00024021,E05000646,Vincent Square,E09000033,Westminster,Inner London
17113,E00024022,E05000646,Vincent Square,E09000033,Westminster,Inner London
17114,E00024023,E05000646,Vincent Square,E09000033,Westminster,Inner London
17115,E00024024,E05000646,Vincent Square,E09000033,Westminster,Inner London
17116,E00024025,E05000646,Vincent Square,E09000033,Westminster,Inner London
17117,E00024026,E05000646,Vincent Square,E09000033,Westminster,Inner London
17118,E00024028,E05000646,Vincent Square,E09000033,Westminster,Inner London
17119,E00024029,E05000646,Vincent Square,E09000033,Westminster,Inner London
17120,E00024030,E05000646,Vincent Square,E09000033,Westminster,Inner London
17121,E00175251,E05000646,Vincent Square,E09000033,Westminster,Inner London
17122,E00175252,E05000646,Vincent Square,E09000033,Westminster,Inner London
17123,E00175253,E05000646,Vincent Square,E09000033,Westminster,Inner London
17124,E00175254,E05000646,Vincent Square,E09000033,Westminster,Inner London
17125,E00175255,E05000646,Vincent Square,E09000033,Westminster,Inner London
17126,E00175256,E05000646,Vincent Square,E09000033,Westminster,Inner London
17127,E00175257,E05000646,Vincent Square,E09000033,Westminster,Inner London
17128,E00023967,E05000645,Tachbrook,E09000033,Westminster,Inner London
17129,E00023968,E05000645,Tachbrook,E09000033,Westminster,Inner London
17130,E00023969,E05000645,Tachbrook,E09000033,Westminster,Inner London
17131,E00023991,E05000645,Tachbrook,E09000033,Westminster,Inner London
17132,E00023996,E05000645,Tachbrook,E09000033,Westminster,Inner London
17133,E00023997,E05000645,Tachbrook,E09000033,Westminster,Inner London
17134,E00023998,E05000645,Tachbrook,E09000033,Westminster,Inner London
17135,E00024036,E05000647,Warwick,E09000033,Westminster,Inner London
17136,E00024037,E05000647,Warwick,E09000033,Westminster,Inner London
17137,E00024038,E05000647,Warwick,E09000033,Westminster,Inner London
17138,E00024039,E05000647,Warwick,E09000033,Westminster,Inner London
17139,E00024040,E05000647,Warwick,E09000033,Westminster,Inner London
17140,E00024041,E05000647,Warwick,E09000033,Westminster,Inner London
17141,E00024042,E05000647,Warwick,E09000033,Westminster,Inner London
17142,E00024043,E05000647,Warwick,E09000033,Westminster,Inner London
17143,E00024044,E05000647,Warwick,E09000033,Westminster,Inner London
17144,E00024045,E05000647,Warwick,E09000033,Westminster,Inner London
17145,E00024046,E05000647,Warwick,E09000033,Westminster,Inner London
17146,E00024047,E05000647,Warwick,E09000033,Westminster,Inner London
17147,E00024052,E05000647,Warwick,E09000033,Westminster,Inner London
17148,E00024053,E05000647,Warwick,E09000033,Westminster,Inner London
17149,E00024055,E05000647,Warwick,E09000033,Westminster,Inner London
17150,E00024056,E05000647,Warwick,E09000033,Westminster,Inner London
17151,E00024057,E05000647,Warwick,E09000033,Westminster,Inner London
17152,E00024058,E05000647,Warwick,E09000033,Westminster,Inner London
17153,E00024059,E05000647,Warwick,E09000033,Westminster,Inner London
17154,E00024060,E05000647,Warwick,E09000033,Westminster,Inner London
17155,E00024062,E05000647,Warwick,E09000033,Westminster,Inner London
17156,E00024063,E05000647,Warwick,E09000033,Westminster,Inner London
17157,E00024064,E05000647,Warwick,E09000033,Westminster,Inner London
17158,E00024065,E05000647,Warwick,E09000033,Westminster,Inner London
17159,E00024066,E05000647,Warwick,E09000033,Westminster,Inner London
17160,E00024067,E05000647,Warwick,E09000033,Westminster,Inner London
17161,E00024068,E05000647,Warwick,E09000033,Westminster,Inner London
17162,E00024069,E05000647,Warwick,E09000033,Westminster,Inner London
17163,E00024071,E05000647,Warwick,E09000033,Westminster,Inner London
17164,E00175180,E05000647,Warwick,E09000033,Westminster,Inner London
17165,E00175222,E05000645,Tachbrook,E09000033,Westminster,Inner London
17166,E00175239,E05000647,Warwick,E09000033,Westminster,Inner London
17167,E00175240,E05000647,Warwick,E09000033,Westminster,Inner London
17168,E00175241,E05000647,Warwick,E09000033,Westminster,Inner London
17169,E00023530,E05000633,Churchill,E09000033,Westminster,Inner London
17170,E00023531,E05000633,Churchill,E09000033,Westminster,Inner London
17171,E00023532,E05000633,Churchill,E09000033,Westminster,Inner London
17172,E00023533,E05000633,Churchill,E09000033,Westminster,Inner London
17173,E00023534,E05000633,Churchill,E09000033,Westminster,Inner London
17174,E00023535,E05000633,Churchill,E09000033,Westminster,Inner London
17175,E00023536,E05000633,Churchill,E09000033,Westminster,Inner London
17176,E00023537,E05000633,Churchill,E09000033,Westminster,Inner London
17177,E00023539,E05000633,Churchill,E09000033,Westminster,Inner London
17178,E00023541,E05000633,Churchill,E09000033,Westminster,Inner London
17179,E00023545,E05000633,Churchill,E09000033,Westminster,Inner London
17180,E00023546,E05000633,Churchill,E09000033,Westminster,Inner London
17181,E00023547,E05000633,Churchill,E09000033,Westminster,Inner London
17182,E00023548,E05000633,Churchill,E09000033,Westminster,Inner London
17183,E00023550,E05000633,Churchill,E09000033,Westminster,Inner London
17184,E00023557,E05000633,Churchill,E09000033,Westminster,Inner London
17185,E00023558,E05000633,Churchill,E09000033,Westminster,Inner London
17186,E00023559,E05000633,Churchill,E09000033,Westminster,Inner London
17187,E00023560,E05000633,Churchill,E09000033,Westminster,Inner London
17188,E00023561,E05000633,Churchill,E09000033,Westminster,Inner London
17189,E00023562,E05000633,Churchill,E09000033,Westminster,Inner London
17190,E00024048,E05000647,Warwick,E09000033,Westminster,Inner London
17191,E00024050,E05000647,Warwick,E09000033,Westminster,Inner London
17192,E00024051,E05000647,Warwick,E09000033,Westminster,Inner London
17193,E00024054,E05000647,Warwick,E09000033,Westminster,Inner London
17194,E00024061,E05000647,Warwick,E09000033,Westminster,Inner London
17195,E00024070,E05000647,Warwick,E09000033,Westminster,Inner London
17196,E00175209,E05000647,Warwick,E09000033,Westminster,Inner London
17197,E00175217,E05000633,Churchill,E09000033,Westminster,Inner London
17198,E00175223,E05000633,Churchill,E09000033,Westminster,Inner London
17199,E00175230,E05000633,Churchill,E09000033,Westminster,Inner London
17200,E00175231,E05000633,Churchill,E09000033,Westminster,Inner London
17201,E00175278,E05000647,Warwick,E09000033,Westminster,Inner London
17202,E00023538,E05000633,Churchill,E09000033,Westminster,Inner London
17203,E00023540,E05000633,Churchill,E09000033,Westminster,Inner London
17204,E00023542,E05000633,Churchill,E09000033,Westminster,Inner London
17205,E00023543,E05000633,Churchill,E09000033,Westminster,Inner London
17206,E00023544,E05000633,Churchill,E09000033,Westminster,Inner London
17207,E00023549,E05000633,Churchill,E09000033,Westminster,Inner London
17208,E00023551,E05000633,Churchill,E09000033,Westminster,Inner London
17209,E00023552,E05000633,Churchill,E09000033,Westminster,Inner London
17210,E00023554,E05000633,Churchill,E09000033,Westminster,Inner London
17211,E00023555,E05000633,Churchill,E09000033,Westminster,Inner London
17212,E00023556,E05000633,Churchill,E09000033,Westminster,Inner London
17213,E00023963,E05000645,Tachbrook,E09000033,Westminster,Inner London
17214,E00023964,E05000645,Tachbrook,E09000033,Westminster,Inner London
17215,E00023965,E05000645,Tachbrook,E09000033,Westminster,Inner London
17216,E00023966,E05000645,Tachbrook,E09000033,Westminster,Inner London
17217,E00023971,E05000645,Tachbrook,E09000033,Westminster,Inner London
17218,E00023972,E05000645,Tachbrook,E09000033,Westminster,Inner London
17219,E00023973,E05000645,Tachbrook,E09000033,Westminster,Inner London
17220,E00023974,E05000645,Tachbrook,E09000033,Westminster,Inner London
17221,E00023975,E05000645,Tachbrook,E09000033,Westminster,Inner London
17222,E00023976,E05000645,Tachbrook,E09000033,Westminster,Inner London
17223,E00023977,E05000645,Tachbrook,E09000033,Westminster,Inner London
17224,E00023978,E05000645,Tachbrook,E09000033,Westminster,Inner London
17225,E00023979,E05000645,Tachbrook,E09000033,Westminster,Inner London
17226,E00023980,E05000645,Tachbrook,E09000033,Westminster,Inner London
17227,E00023981,E05000645,Tachbrook,E09000033,Westminster,Inner London
17228,E00023982,E05000645,Tachbrook,E09000033,Westminster,Inner London
17229,E00023993,E05000645,Tachbrook,E09000033,Westminster,Inner London
17230,E00023994,E05000645,Tachbrook,E09000033,Westminster,Inner London
17231,E00023995,E05000645,Tachbrook,E09000033,Westminster,Inner London
17232,E00023999,E05000645,Tachbrook,E09000033,Westminster,Inner London
17233,E00175202,E05000645,Tachbrook,E09000033,Westminster,Inner London
17234,E00175203,E05000645,Tachbrook,E09000033,Westminster,Inner London
17235,E00175224,E05000645,Tachbrook,E09000033,Westminster,Inner London
17236,E00175225,E05000645,Tachbrook,E09000033,Westminster,Inner London
17237,E00175258,E05000645,Tachbrook,E09000033,Westminster,Inner London
