,OA,[per_effective_area_square_meter] - worker_count,[per_effective_area_square_meter] - student_count,[per_effective_area_square_meter] - tourist_count,[per_effective_area_square_meter] - shopper_count,[per_effective_area_square_meter] - leisurer_count,[per_effective_area_square_meter] - chorer_count,[per_effective_area_square_meter] - resident_count,[per_effective_area_square_meter] - visitors_total_count,[per_effective_area_square_meter] - total_count,[shared_scale] - [per_effective_area_square_meter] - worker_count,[shared_scale] - [per_effective_area_square_meter] - student_count,[shared_scale] - [per_effective_area_square_meter] - tourist_count,[shared_scale] - [per_effective_area_square_meter] - shopper_count,[shared_scale] - [per_effective_area_square_meter] - leisurer_count,[shared_scale] - [per_effective_area_square_meter] - chorer_count,[shared_scale] - [per_effective_area_square_meter] - resident_count
0,E00023722,3.041,0.805,1.032,0.256,1.365,0.375,1.573,6.874,8.447,3.041,0.805,1.032,0.256,1.365,0.375,1.573
1,E00023889,4.699,0.981,0.78,1.4,1.064,0.629,3.269,9.553,12.822,4.699,0.981,0.78,1.4,1.064,0.629,3.269
2,E00023808,1.838,0.353,0.229,0.412,0.287,0.296,2.757,3.415,6.172,1.838,0.353,0.229,0.412,0.287,0.296,2.757
3,E00024069,3.602,0.328,1.127,0.734,1.365,0.409,2.888,7.565,10.453,3.602,0.328,1.127,0.734,1.365,0.409,2.888
4,E00024056,3.285,0.687,1.176,0.369,1.094,0.629,2.705,7.24,9.945,3.285,0.687,1.176,0.369,1.094,0.629,2.705
5,E00023555,1.113,0.411,0.2,0.156,0.286,0.158,2.839,2.324,5.163,1.113,0.411,0.2,0.156,0.286,0.158,2.839
6,E00023887,5.401,0.835,1.135,1.305,1.288,0.687,1.918,10.651,12.569,5.401,0.835,1.135,1.305,1.288,0.687,1.918
7,E00024042,4.101,0.688,0.879,0.783,0.931,0.693,1.894,8.075,9.969,4.101,0.688,0.879,0.783,0.931,0.693,1.894
8,E00023706,1.999,0.253,0.343,0.223,0.429,0.264,1.877,3.511,5.388,1.999,0.253,0.343,0.223,0.429,0.264,1.877
9,E00023787,1.74,0.654,0.4,0.465,0.584,0.323,2.072,4.166,6.238,1.74,0.654,0.4,0.465,0.584,0.323,2.072
10,E00024051,6.733,1.038,1.924,1.262,1.741,0.826,1.287,13.524,14.811,6.733,1.038,1.924,1.262,1.741,0.826,1.287
11,E00023714,4.038,0.7,1.021,1.187,1.414,0.557,1.864,8.917,10.781,4.038,0.7,1.021,1.187,1.414,0.557,1.864
12,E00023466,3.472,0.401,0.89,1.163,0.924,0.546,3.278,7.396,10.674,3.472,0.401,0.89,1.163,0.924,0.546,3.278
13,E00175213,8.989,0.906,1.984,0.884,2.123,0.867,1.052,15.753,16.805,8.989,0.906,1.984,0.884,2.123,0.867,1.052
14,E00023564,2.203,0.411,0.343,0.541,0.416,0.404,4.971,4.318,9.289,2.203,0.411,0.343,0.541,0.416,0.404,4.971
15,E00023830,11.207,1.167,1.522,1.583,1.831,1.008,3.081,18.318,21.399,11.207,1.167,1.522,1.583,1.831,1.008,3.081
16,E00023586,2.758,0.481,0.705,0.884,0.855,0.44,4.151,6.123,10.274,2.758,0.481,0.705,0.884,0.855,0.44,4.151
17,E00023507,7.619,1.983,2.034,1.653,2.154,1.234,3.015,16.677,19.692,7.619,1.983,2.034,1.653,2.154,1.234,3.015
18,E00024104,1.31,0.313,0.523,0.271,0.472,0.185,3.073,3.074,6.147,1.31,0.313,0.523,0.271,0.472,0.185,3.073
19,E00024094,1.822,1.355,0.36,0.256,0.413,0.358,4.347,4.564,8.911,1.822,1.355,0.36,0.256,0.413,0.358,4.347
20,E00023936,8.025,0.845,3.514,1.229,2.171,0.595,0.703,16.379,17.082,8.025,0.845,3.514,1.229,2.171,0.595,0.703
21,E00175182,3.458,0.296,0.804,0.59,0.872,0.354,0.859,6.374,7.233,3.458,0.296,0.804,0.59,0.872,0.354,0.859
22,E00023840,10.836,1.342,2.171,2.624,2.128,0.973,1.175,20.074,21.249,10.836,1.342,2.171,2.624,2.128,0.973,1.175
23,E00175255,1.927,0.465,0.312,0.22,0.345,0.251,2.367,3.52,5.887,1.927,0.465,0.312,0.22,0.345,0.251,2.367
24,E00175277,1.152,0.311,0.354,0.322,0.382,0.109,3.607,2.63,6.237,1.152,0.311,0.354,0.322,0.382,0.109,3.607
25,E00023767,2.216,0.229,0.331,0.421,0.474,0.304,3.052,3.975,7.027,2.216,0.229,0.331,0.421,0.474,0.304,3.052
26,E00023908,1.249,0.153,0.116,0.204,0.129,0.272,3.717,2.123,5.84,1.249,0.153,0.116,0.204,0.129,0.272,3.717
27,E00023475,3.448,0.652,1.033,1.959,1.01,0.531,2.415,8.633,11.048,3.448,0.652,1.033,1.959,1.01,0.531,2.415
28,E00023634,1.676,0.243,0.676,0.507,0.626,0.268,1.509,3.996,5.505,1.676,0.243,0.676,0.507,0.626,0.268,1.509
29,E00023727,4.686,0.859,1.466,1.047,1.827,0.676,1.821,10.561,12.382,4.686,0.859,1.466,1.047,1.827,0.676,1.821
30,E00024066,4.16,0.475,1.497,0.99,1.72,0.601,3.909,9.443,13.352,4.16,0.475,1.497,0.99,1.72,0.601,3.909
31,E00023991,3.255,0.522,1.354,0.829,1.559,0.38,2.78,7.899,10.679,3.255,0.522,1.354,0.829,1.559,0.38,2.78
32,E00023910,0.967,0.285,0.226,0.099,0.189,0.217,3.458,1.983,5.441,0.967,0.285,0.226,0.099,0.189,0.217,3.458
33,E00175215,6.028,1.039,1.907,0.921,2.432,0.77,1.017,13.097,14.114,6.028,1.039,1.907,0.921,2.432,0.77,1.017
34,E00023800,2.311,0.384,0.403,0.559,0.462,0.35,1.916,4.469,6.385,2.311,0.384,0.403,0.559,0.462,0.35,1.916
35,E00023920,6.356,1.255,1.859,1.094,1.379,0.688,4.043,12.631,16.674,6.356,1.255,1.859,1.094,1.379,0.688,4.043
36,E00023831,9.908,1.638,2.145,2.617,2.296,0.907,1.756,19.511,21.267,9.908,1.638,2.145,2.617,2.296,0.907,1.756
37,E00023485,4.329,0.432,0.537,0.479,0.523,0.474,3.422,6.774,10.196,4.329,0.432,0.537,0.479,0.523,0.474,3.422
38,E00024021,1.71,0.356,0.265,0.085,0.167,0.223,4.567,2.806,7.373,1.71,0.356,0.265,0.085,0.167,0.223,4.567
39,E00023738,2.226,0.957,0.833,0.171,0.866,0.401,2.834,5.454,8.288,2.226,0.957,0.833,0.171,0.866,0.401,2.834
40,E00023912,1.333,0.614,0.422,0.15,0.276,0.296,2.455,3.091,5.546,1.333,0.614,0.422,0.15,0.276,0.296,2.455
41,E00023423,1.307,0.525,0.221,0.342,0.231,0.289,3.598,2.915,6.513,1.307,0.525,0.221,0.342,0.231,0.289,3.598
42,E00023488,6.539,1.004,1.095,0.88,1.304,0.697,2.861,11.519,14.38,6.539,1.004,1.095,0.88,1.304,0.697,2.861
43,E00023500,9.852,1.64,1.841,1.161,2.205,1.589,2.069,18.288,20.357,9.852,1.64,1.841,1.161,2.205,1.589,2.069
44,E00175275,1.964,0.233,0.509,0.509,0.422,0.215,2.36,3.852,6.212,1.964,0.233,0.509,0.509,0.422,0.215,2.36
45,E00023503,7.059,0.963,1.592,0.999,1.979,0.739,1.663,13.331,14.994,7.059,0.963,1.592,0.999,1.979,0.739,1.663
46,E00175243,1.486,1.047,0.524,0.251,0.464,0.267,2.012,4.039,6.051,1.486,1.047,0.524,0.251,0.464,0.267,2.012
47,E00175246,1.295,0.289,0.368,0.331,0.365,0.27,2.11,2.918,5.028,1.295,0.289,0.368,0.331,0.365,0.27,2.11
48,E00024095,2.395,0.744,0.571,0.517,0.624,0.534,3.776,5.385,9.161,2.395,0.744,0.571,0.517,0.624,0.534,3.776
49,E00023756,2.877,0.513,0.543,0.868,0.659,0.571,2.61,6.031,8.641,2.877,0.513,0.543,0.868,0.659,0.571,2.61
50,E00024014,6.487,0.597,1.467,1.023,1.685,0.74,2.91,11.999,14.909,6.487,0.597,1.467,1.023,1.685,0.74,2.91
51,E00023620,5.809,0.867,2.123,1.29,2.465,0.629,4.166,13.183,17.349,5.809,0.867,2.123,1.29,2.465,0.629,4.166
52,E00023520,8.671,1.408,2.477,1.532,2.118,0.973,3.294,17.179,20.473,8.671,1.408,2.477,1.532,2.118,0.973,3.294
53,E00024125,10.234,1.674,2.557,1.837,1.873,1.025,2.632,19.2,21.832,10.234,1.674,2.557,1.837,1.873,1.025,2.632
54,E00024063,3.75,0.724,1.368,0.409,1.239,0.803,2.744,8.293,11.037,3.75,0.724,1.368,0.409,1.239,0.803,2.744
55,E00024105,1.998,0.152,0.569,0.295,0.586,0.207,1.459,3.807,5.266,1.998,0.152,0.569,0.295,0.586,0.207,1.459
56,E00023932,8.9,1.495,3.099,3.292,2.815,0.727,1.179,20.328,21.507,8.9,1.495,3.099,3.292,2.815,0.727,1.179
57,E00024075,0.625,0.066,0.201,0.153,0.221,0.07,3.071,1.336,4.407,0.625,0.066,0.201,0.153,0.221,0.07,3.071
58,E00175198,5.972,0.818,2.141,1.378,2.68,0.767,3.466,13.756,17.222,5.972,0.818,2.141,1.378,2.68,0.767,3.466
59,E00023728,3.433,0.933,1.208,0.7,1.376,0.514,2.907,8.164,11.071,3.433,0.933,1.208,0.7,1.376,0.514,2.907
60,E00024114,13.285,1.409,3.077,4.474,2.175,1.004,1.018,25.424,26.442,13.285,1.409,3.077,4.474,2.175,1.004,1.018
61,E00023873,1.281,0.278,0.174,0.361,0.195,0.207,2.941,2.496,5.437,1.281,0.278,0.174,0.361,0.195,0.207,2.941
62,E00024059,4.78,0.698,1.38,0.867,1.461,0.604,1.924,9.79,11.714,4.78,0.698,1.38,0.867,1.461,0.604,1.924
63,E00024115,15.234,1.33,4.117,3.14,2.425,1.149,1.016,27.395,28.411,15.234,1.33,4.117,3.14,2.425,1.149,1.016
64,E00024030,1.996,0.47,0.62,0.314,0.499,0.206,1.331,4.105,5.436,1.996,0.47,0.62,0.314,0.499,0.206,1.331
65,E00023567,3.701,0.921,1.165,1.806,0.732,0.513,2.441,8.838,11.279,3.701,0.921,1.165,1.806,0.732,0.513,2.441
66,E00023622,2.533,0.356,1.077,0.356,1.278,0.384,1.754,5.984,7.738,2.533,0.356,1.077,0.356,1.278,0.384,1.754
67,E00023632,5.499,0.996,1.434,1.332,1.478,0.896,1.626,11.635,13.261,5.499,0.996,1.434,1.332,1.478,0.896,1.626
68,E00023858,1.703,1.124,0.173,0.32,0.198,0.397,3.756,3.915,7.671,1.703,1.124,0.173,0.32,0.198,0.397,3.756
69,E00023765,1.551,0.352,0.31,0.356,0.353,0.247,3.753,3.169,6.922,1.551,0.352,0.31,0.356,0.353,0.247,3.753
70,E00023979,3.0,1.598,0.515,0.516,0.799,0.479,2.562,6.907,9.469,3.0,1.598,0.515,0.516,0.799,0.479,2.562
71,E00175230,2.309,0.393,0.345,0.49,0.295,0.323,11.617,4.155,15.772,2.309,0.393,0.345,0.49,0.295,0.323,11.617
72,E00023591,1.779,0.759,0.243,0.421,0.277,0.351,3.13,3.83,6.96,1.779,0.759,0.243,0.421,0.277,0.351,3.13
73,E00023510,7.258,0.936,1.618,1.355,1.644,0.69,1.374,13.501,14.875,7.258,0.936,1.618,1.355,1.644,0.69,1.374
74,E00023581,2.344,0.838,0.74,0.94,0.413,0.413,3.918,5.688,9.606,2.344,0.838,0.74,0.94,0.413,0.413,3.918
75,E00023441,1.489,0.404,0.415,0.309,0.403,0.233,2.262,3.253,5.515,1.489,0.404,0.415,0.309,0.403,0.233,2.262
76,E00024071,4.045,0.751,0.834,0.302,0.838,0.938,3.589,7.708,11.297,4.045,0.751,0.834,0.302,0.838,0.938,3.589
77,E00023867,2.75,1.082,0.568,0.918,0.481,0.334,4.114,6.133,10.247,2.75,1.082,0.568,0.918,0.481,0.334,4.114
78,E00024061,4.403,0.841,1.264,0.738,1.212,0.82,1.635,9.278,10.913,4.403,0.841,1.264,0.738,1.212,0.82,1.635
79,E00024140,11.405,1.057,2.29,2.965,1.764,0.919,1.99,20.4,22.39,11.405,1.057,2.29,2.965,1.764,0.919,1.99
80,E00023726,2.915,0.928,1.266,0.393,1.42,0.427,3.313,7.349,10.662,2.915,0.928,1.266,0.393,1.42,0.427,3.313
81,E00023879,1.072,0.291,0.215,0.368,0.168,0.166,3.527,2.28,5.807,1.072,0.291,0.215,0.368,0.168,0.166,3.527
82,E00023529,11.213,1.555,1.344,1.458,1.715,1.135,2.578,18.42,20.998,11.213,1.555,1.344,1.458,1.715,1.135,2.578
83,E00023443,1.144,0.375,0.112,0.288,0.122,0.174,2.011,2.215,4.226,1.144,0.375,0.112,0.288,0.122,0.174,2.011
84,E00023458,3.576,0.721,0.68,0.694,0.877,0.716,2.088,7.264,9.352,3.576,0.721,0.68,0.694,0.877,0.716,2.088
85,E00024138,11.923,1.493,7.036,3.175,6.929,1.035,1.452,31.591,33.043,11.923,1.493,7.036,3.175,6.929,1.035,1.452
86,E00023922,0.529,0.123,1.317,0.067,1.561,0.068,0.567,3.665,4.232,0.529,0.123,1.317,0.067,1.561,0.068,0.567
87,E00023541,2.204,0.349,0.39,0.499,0.273,0.266,2.734,3.981,6.715,2.204,0.349,0.39,0.499,0.273,0.266,2.734
88,E00024126,10.332,2.605,2.699,2.215,2.203,1.056,3.172,21.11,24.282,10.332,2.605,2.699,2.215,2.203,1.056,3.172
89,E00023993,2.982,0.501,0.924,0.591,0.977,0.418,4.076,6.393,10.469,2.982,0.501,0.924,0.591,0.977,0.418,4.076
90,E00023460,2.134,1.26,0.667,0.624,0.493,0.396,3.179,5.574,8.753,2.134,1.26,0.667,0.624,0.493,0.396,3.179
91,E00023806,1.489,0.306,0.19,0.228,0.251,0.216,0.859,2.68,3.539,1.489,0.306,0.19,0.228,0.251,0.216,0.859
92,E00023438,0.939,0.421,0.109,0.101,0.121,0.149,1.867,1.84,3.707,0.939,0.421,0.109,0.101,0.121,0.149,1.867
93,E00023795,1.92,0.238,0.316,0.454,0.342,0.277,3.583,3.547,7.13,1.92,0.238,0.316,0.454,0.342,0.277,3.583
94,E00023861,2.249,0.701,0.454,0.666,0.415,0.364,1.783,4.849,6.632,2.249,0.701,0.454,0.666,0.415,0.364,1.783
95,E00023570,4.836,1.022,1.205,1.457,0.992,0.519,3.346,10.031,13.377,4.836,1.022,1.205,1.457,0.992,0.519,3.346
96,E00024013,8.342,0.812,1.521,1.447,1.855,0.929,2.743,14.906,17.649,8.342,0.812,1.521,1.447,1.855,0.929,2.743
97,E00024092,3.334,0.473,0.922,0.987,1.04,0.428,4.221,7.184,11.405,3.334,0.473,0.922,0.987,1.04,0.428,4.221
98,E00175235,1.434,0.306,0.288,0.517,0.276,0.238,3.23,3.059,6.289,1.434,0.306,0.288,0.517,0.276,0.238,3.23
99,E00023845,9.82,1.336,1.973,3.477,1.864,0.742,1.65,19.212,20.862,9.82,1.336,1.973,3.477,1.864,0.742,1.65
100,E00023864,2.247,0.771,0.398,0.707,0.481,0.364,3.051,4.968,8.019,2.247,0.771,0.398,0.707,0.481,0.364,3.051
101,E00023989,2.841,0.414,0.948,0.576,0.931,0.409,3.18,6.119,9.299,2.841,0.414,0.948,0.576,0.931,0.409,3.18
102,E00023536,1.643,0.417,0.439,0.597,0.369,0.293,2.883,3.758,6.641,1.643,0.417,0.439,0.597,0.369,0.293,2.883
103,E00023664,4.357,0.984,0.818,1.116,1.161,0.662,1.732,9.098,10.83,4.357,0.984,0.818,1.116,1.161,0.662,1.732
104,E00023433,0.681,0.452,0.089,0.035,0.086,0.095,2.0,1.438,3.438,0.681,0.452,0.089,0.035,0.086,0.095,2.0
105,E00175181,3.129,0.326,0.566,0.419,0.604,0.338,1.645,5.382,7.027,3.129,0.326,0.566,0.419,0.604,0.338,1.645
106,E00024113,12.724,0.888,3.96,2.321,2.214,0.936,0.965,23.043,24.008,12.724,0.888,3.96,2.321,2.214,0.936,0.965
107,E00023672,1.35,0.223,0.488,0.139,0.27,0.368,1.763,2.838,4.601,1.35,0.223,0.488,0.139,0.27,0.368,1.763
108,E00023759,1.404,0.198,0.466,0.352,0.469,0.197,1.297,3.086,4.383,1.404,0.198,0.466,0.352,0.469,0.197,1.297
109,E00023881,4.006,0.889,0.698,1.195,0.82,0.517,2.837,8.125,10.962,4.006,0.889,0.698,1.195,0.82,0.517,2.837
110,E00024096,2.214,0.336,0.767,0.558,0.776,0.295,1.292,4.946,6.238,2.214,0.336,0.767,0.558,0.776,0.295,1.292
111,E00024017,3.37,0.613,0.749,0.797,0.644,0.372,4.282,6.545,10.827,3.37,0.613,0.749,0.797,0.644,0.372,4.282
112,E00023694,2.89,1.068,1.113,0.478,1.319,0.433,2.58,7.301,9.881,2.89,1.068,1.113,0.478,1.319,0.433,2.58
113,E00023884,3.51,0.784,1.033,0.462,0.687,0.368,2.161,6.844,9.005,3.51,0.784,1.033,0.462,0.687,0.368,2.161
114,E00023805,1.912,0.224,0.271,0.43,0.336,0.272,1.759,3.445,5.204,1.912,0.224,0.271,0.43,0.336,0.272,1.759
115,E00023615,1.372,0.815,0.323,0.504,0.416,0.258,3.413,3.688,7.101,1.372,0.815,0.323,0.504,0.416,0.258,3.413
116,E00024008,4.18,1.265,0.846,0.529,0.817,0.625,1.518,8.262,9.78,4.18,1.265,0.846,0.529,0.817,0.625,1.518
117,E00024089,4.239,1.029,1.04,0.968,1.073,0.8,3.603,9.149,12.752,4.239,1.029,1.04,0.968,1.073,0.8,3.603
118,E00023625,3.54,0.553,1.088,0.883,1.226,0.548,1.533,7.838,9.371,3.54,0.553,1.088,0.883,1.226,0.548,1.533
119,E00023502,8.513,1.402,1.7,1.342,2.013,1.184,2.975,16.154,19.129,8.513,1.402,1.7,1.342,2.013,1.184,2.975
120,E00023505,7.391,1.295,1.314,1.174,1.621,1.045,2.104,13.84,15.944,7.391,1.295,1.314,1.174,1.621,1.045,2.104
121,E00024024,2.015,0.436,0.66,0.352,0.547,0.202,1.054,4.212,5.266,2.015,0.436,0.66,0.352,0.547,0.202,1.054
122,E00023954,3.924,1.153,0.764,0.547,0.786,0.534,3.039,7.708,10.747,3.924,1.153,0.764,0.547,0.786,0.534,3.039
123,E00175206,5.255,0.81,1.628,1.235,1.454,0.62,0.633,11.002,11.635,5.255,0.81,1.628,1.235,1.454,0.62,0.633
124,E00023833,10.796,1.648,2.281,2.59,2.221,0.865,2.668,20.401,23.069,10.796,1.648,2.281,2.59,2.221,0.865,2.668
125,E00023801,1.91,0.336,0.328,0.449,0.361,0.319,2.534,3.703,6.237,1.91,0.336,0.328,0.449,0.361,0.319,2.534
126,E00023880,1.541,0.708,0.161,0.33,0.196,0.256,2.962,3.192,6.154,1.541,0.708,0.161,0.33,0.196,0.256,2.962
127,E00023719,4.487,1.283,1.418,0.974,1.621,0.706,4.126,10.489,14.615,4.487,1.283,1.418,0.974,1.621,0.706,4.126
128,E00023798,1.87,0.171,0.271,0.491,0.32,0.247,2.461,3.37,5.831,1.87,0.171,0.271,0.491,0.32,0.247,2.461
129,E00023492,9.737,1.214,1.31,0.715,1.584,1.507,1.908,16.067,17.975,9.737,1.214,1.31,0.715,1.584,1.507,1.908
130,E00175184,8.552,1.812,2.416,1.678,2.614,0.919,0.065,17.991,18.056,8.552,1.812,2.416,1.678,2.614,0.919,0.065
131,E00024020,1.678,0.35,0.513,0.363,0.404,0.219,2.645,3.527,6.172,1.678,0.35,0.513,0.363,0.404,0.219,2.645
132,E00023717,1.739,0.469,0.675,0.156,0.865,0.274,4.606,4.178,8.784,1.739,0.469,0.675,0.156,0.865,0.274,4.606
133,E00175207,6.88,0.87,1.141,1.223,1.066,0.75,1.557,11.93,13.487,6.88,0.87,1.141,1.223,1.066,0.75,1.557
134,E00023741,4.062,1.206,1.046,0.392,1.202,0.73,1.902,8.638,10.54,4.062,1.206,1.046,0.392,1.202,0.73,1.902
135,E00023796,1.813,0.267,0.288,0.363,0.387,0.249,2.175,3.367,5.542,1.813,0.267,0.288,0.363,0.387,0.249,2.175
136,E00023588,1.583,0.734,0.235,0.391,0.267,0.303,2.954,3.513,6.467,1.583,0.734,0.235,0.391,0.267,0.303,2.954
137,E00023473,6.342,1.159,1.19,2.038,1.61,1.105,3.168,13.444,16.612,6.342,1.159,1.19,2.038,1.61,1.105,3.168
138,E00023814,8.494,1.508,1.71,1.398,1.35,0.925,5.538,15.385,20.923,8.494,1.508,1.71,1.398,1.35,0.925,5.538
139,E00023641,1.689,0.304,0.919,0.205,0.786,0.31,1.844,4.213,6.057,1.689,0.304,0.919,0.205,0.786,0.31,1.844
140,E00175240,9.609,1.169,1.933,1.58,2.518,1.049,1.398,17.858,19.256,9.609,1.169,1.933,1.58,2.518,1.049,1.398
141,E00023587,1.518,1.033,0.206,0.349,0.251,0.343,3.592,3.7,7.292,1.518,1.033,0.206,0.349,0.251,0.343,3.592
142,E00023895,1.066,0.093,0.286,0.19,0.272,0.1,3.145,2.007,5.152,1.066,0.093,0.286,0.19,0.272,0.1,3.145
143,E00175203,1.778,0.295,0.64,0.224,0.664,0.278,4.005,3.879,7.884,1.778,0.295,0.64,0.224,0.664,0.278,4.005
144,E00023950,7.508,1.318,1.22,1.121,1.468,0.829,2.849,13.464,16.313,7.508,1.318,1.22,1.121,1.468,0.829,2.849
145,E00023779,1.509,0.318,0.172,0.269,0.235,0.188,2.916,2.691,5.607,1.509,0.318,0.172,0.269,0.235,0.188,2.916
146,E00023721,5.305,1.007,1.224,1.345,1.643,0.827,3.466,11.351,14.817,5.305,1.007,1.224,1.345,1.643,0.827,3.466
147,E00024011,3.518,0.71,0.796,0.61,0.843,0.483,6.292,6.96,13.252,3.518,0.71,0.796,0.61,0.843,0.483,6.292
148,E00023643,2.627,0.359,0.557,0.607,0.576,0.274,2.084,5.0,7.084,2.627,0.359,0.557,0.607,0.576,0.274,2.084
149,E00024012,3.818,0.387,0.754,0.82,0.683,0.361,6.082,6.823,12.905,3.818,0.387,0.754,0.82,0.683,0.361,6.082
