OA,energy,vehicle,recycle,none
E00023412,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023418,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023432,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023433,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023436,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023437,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023440,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023442,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023443,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023444,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023446,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023449,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023880,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023881,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023885,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023886,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023888,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023889,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023890,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023893,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023894,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023922,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023923,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023924,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023925,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023413,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023415,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023419,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023422,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023426,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023427,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023429,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023430,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023431,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023434,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023435,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023438,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023439,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023441,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023445,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023447,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023448,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023774,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023787,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023788,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023789,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023790,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023791,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023792,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023793,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023794,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023795,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023796,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023414,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023416,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023421,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023423,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023424,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023425,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023428,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023882,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023883,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023887,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023891,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023892,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023895,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023896,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023897,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023898,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023899,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023900,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023901,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023902,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023903,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023905,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023906,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023907,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023908,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023909,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023910,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023911,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023912,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023913,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023914,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023917,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023918,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00175242,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023849,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023851,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023852,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023853,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023854,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023855,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023856,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023857,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023858,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023860,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023861,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023862,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023863,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023864,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023865,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023866,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023867,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023872,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023873,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023874,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023875,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023876,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023877,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023878,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023879,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00175260,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00175261,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00175262,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023585,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023586,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023587,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023588,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023589,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023590,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023591,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023592,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023593,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023595,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023596,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023597,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023598,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023599,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023601,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023603,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023604,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023606,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023610,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023611,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023612,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023613,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023615,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023616,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023859,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023869,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023870,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023871,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00175232,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00175233,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00175234,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00175235,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00175236,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00175237,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00175238,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023600,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023602,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023605,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023608,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023609,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023614,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023777,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023779,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023780,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023781,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023782,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023783,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023784,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023785,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023786,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023797,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023802,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023803,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023804,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023805,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023806,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023807,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023808,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023809,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023810,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00024087,0.6964285714285714,0.2857142857142857,0.8392857142857143,0.03571428571428571
E00024088,0.6964285714285714,0.2857142857142857,0.8392857142857143,0.03571428571428571
E00024090,0.6964285714285714,0.2857142857142857,0.8392857142857143,0.03571428571428571
E00024093,0.6964285714285714,0.2857142857142857,0.8392857142857143,0.03571428571428571
E00024094,0.6964285714285714,0.2857142857142857,0.8392857142857143,0.03571428571428571
E00024095,0.6964285714285714,0.2857142857142857,0.8392857142857143,0.03571428571428571
E00023744,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00023745,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00023746,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00023747,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00023748,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00023749,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00023750,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00023751,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00023752,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00023753,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00023755,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00023758,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00023759,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00023761,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00023765,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00023766,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00023767,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00023768,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00023769,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00023770,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00023771,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00023772,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00023773,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00023775,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023776,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023778,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023798,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023799,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023800,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00023801,0.7380952380952381,0.8095238095238095,0.8333333333333334,0.0
E00175243,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00175244,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00175245,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00175246,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00175247,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00175259,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00175264,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
E00023511,0.7777777777777778,0.6851851851851852,0.8148148148148148,0.05555555555555555
E00023512,0.7777777777777778,0.6851851851851852,0.8148148148148148,0.05555555555555555
E00023513,0.7777777777777778,0.6851851851851852,0.8148148148148148,0.05555555555555555
E00023514,0.7777777777777778,0.6851851851851852,0.8148148148148148,0.05555555555555555
E00023516,0.7777777777777778,0.6851851851851852,0.8148148148148148,0.05555555555555555
E00023517,0.7777777777777778,0.6851851851851852,0.8148148148148148,0.05555555555555555
E00023518,0.7777777777777778,0.6851851851851852,0.8148148148148148,0.05555555555555555
E00023519,0.7777777777777778,0.6851851851851852,0.8148148148148148,0.05555555555555555
E00023520,0.7777777777777778,0.6851851851851852,0.8148148148148148,0.05555555555555555
E00023521,0.7777777777777778,0.6851851851851852,0.8148148148148148,0.05555555555555555
E00023522,0.7777777777777778,0.6851851851851852,0.8148148148148148,0.05555555555555555
E00023524,0.7777777777777778,0.6851851851851852,0.8148148148148148,0.05555555555555555
E00023526,0.7777777777777778,0.6851851851851852,0.8148148148148148,0.05555555555555555
E00023813,0.6521739130434783,0.8043478260869565,0.717391304347826,0.08695652173913043
E00023815,0.6521739130434783,0.8043478260869565,0.717391304347826,0.08695652173913043
E00023822,0.6521739130434783,0.8043478260869565,0.717391304347826,0.08695652173913043
E00023828,0.6521739130434783,0.8043478260869565,0.717391304347826,0.08695652173913043
E00023830,0.6521739130434783,0.8043478260869565,0.717391304347826,0.08695652173913043
E00023836,0.6521739130434783,0.8043478260869565,0.717391304347826,0.08695652173913043
E00023884,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023904,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023916,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023919,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023920,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023921,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00175210,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00175211,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023564,0.5535714285714286,0.5892857142857143,0.7678571428571429,0.125
E00023565,0.5535714285714286,0.5892857142857143,0.7678571428571429,0.125
E00023566,0.5535714285714286,0.5892857142857143,0.7678571428571429,0.125
E00023567,0.5535714285714286,0.5892857142857143,0.7678571428571429,0.125
E00023569,0.5535714285714286,0.5892857142857143,0.7678571428571429,0.125
E00023570,0.5535714285714286,0.5892857142857143,0.7678571428571429,0.125
E00023571,0.5535714285714286,0.5892857142857143,0.7678571428571429,0.125
E00023572,0.5535714285714286,0.5892857142857143,0.7678571428571429,0.125
E00023573,0.5535714285714286,0.5892857142857143,0.7678571428571429,0.125
E00023574,0.5535714285714286,0.5892857142857143,0.7678571428571429,0.125
E00023575,0.5535714285714286,0.5892857142857143,0.7678571428571429,0.125
E00023576,0.5535714285714286,0.5892857142857143,0.7678571428571429,0.125
E00023577,0.5535714285714286,0.5892857142857143,0.7678571428571429,0.125
E00023578,0.5535714285714286,0.5892857142857143,0.7678571428571429,0.125
E00023579,0.5535714285714286,0.5892857142857143,0.7678571428571429,0.125
E00023580,0.5535714285714286,0.5892857142857143,0.7678571428571429,0.125
E00023581,0.5535714285714286,0.5892857142857143,0.7678571428571429,0.125
E00023754,0.6956521739130435,0.7391304347826086,0.5869565217391305,0.043478260869565216
